1989-4-1,52,41,0.00,0.0,0
1989-4-2,51,33,0.00,0.0,0
1989-4-3,71,47,0.21,0.0,0
1989-4-4,81,57,0.00,0.0,0
1989-4-5,71,50,0.84,0.0,0
1989-4-6,58,44,0.22,0.0,0
1989-4-7,50,36,1.29,T,0
1989-4-8,52,37,0.02,0.0,0
1989-4-9,60,43,0.00,0.0,0
1989-4-10,54,41,0.00,0.0,0
1989-4-11,49,35,0.00,0.0,0
1989-4-12,55,33,0.00,0.0,0
1989-4-13,58,36,0.00,0.0,0
1989-4-14,58,44,0.00,0.0,0
1989-4-15,53,50,1.08,0.0,0
1989-4-16,63,44,0.00,0.0,0
1989-4-17,70,44,0.00,0.0,0
1989-4-18,77,58,0.29,0.0,0
1989-4-19,60,44,0.03,0.0,0
1989-4-20,64,44,0.00,0.0,0
1989-4-21,65,41,0.00,0.0,0
1989-4-22,64,49,0.00,0.0,0
1989-4-23,59,40,0.00,0.0,0
1989-4-24,62,44,0.00,0.0,0
1989-4-25,73,47,0.00,0.0,0
1989-4-26,76,53,0.00,0.0,0
1989-4-27,72,51,0.00,0.0,0
1989-4-28,66,55,0.00,0.0,0
1989-4-29,64,55,0.77,0.0,0
1989-4-30,71,57,0.00,0.0
